Ward,Address,Height,Diameter,Age Class,Species
"ChildsHill(A)
","Helenslea Avenue, Golders Green, London           ",3.5,42,Mature,"Tiliasp.
"
"ChildsHill(A)
","Helenslea Avenue, Golders Green, London           ",3,9,Early,"Prunussp.
"
"ChildsHill(A)
","Helenslea Avenue, Golders Green, London           ",3.5,44,Mature,"Tiliasp.
"
"ChildsHill(A)
","Helenslea Avenue, Golders Green, London           ",3.5,43,Mature,"Tiliasp.
"
"ChildsHill(A)
","Helenslea Avenue, Golders Green, London           ",3,30,Semi-Mature,"Tiliasp.
"
"ChildsHill(A)
","Helenslea Avenue, Golders Green, London           ",3.5,39,Mature,"Tiliasp.
"
"ChildsHill(A)
","Helenslea Avenue, Golders Green, London           ",7.5,39,Mature,"Prunussp.
"
"ChildsHill(A)
","Helenslea Avenue, Golders Green, London           ",3.5,37,Mature,"Tiliasp.
"
"ChildsHill(A)
","Helenslea Avenue, Golders Green, London           ",3.5,44,Mature,"Tiliasp.
"
"ChildsHill(A)
","Helenslea Avenue, Golders Green, London           ",0,0,,"VacantTreepit
"
"ChildsHill(A)
","Helenslea Avenue, Golders Green, London           ",4,18,Early Mature,"Prunussp.
"
"ChildsHill(A)
","Helenslea Avenue, Golders Green, London           ",3.5,41,Mature,"Tiliasp.
"
"ChildsHill(A)
","Helenslea Avenue, Golders Green, London           ",3.5,40,Mature,"Tiliasp.
"
"ChildsHill(A)
","Helenslea Avenue, Golders Green, London           ",3.5,44,Mature,"Tiliasp.
"
"ChildsHill(A)
","Helenslea Avenue, Golders Green, London           ",3,10,Early Mature,"Liquidamberstyraciflua
"
"ChildsHill(A)
","Helenslea Avenue, Golders Green, London           ",3.5,34,Semi-Mature,"Tiliasp.
"
"ChildsHill(A)
","Helenslea Avenue, Golders Green, London           ",3.5,44,Mature,"Tiliasp.
"
"ChildsHill(A)
","Helenslea Avenue, Golders Green, London           ",3.5,50,Mature,"Tiliasp.
"
"ChildsHill(A)
","Helenslea Avenue, Golders Green, London           ",0,0,,"VoidTreepit
"
"ChildsHill(A)
","Hermitage Gardens, Cricklewood, London            ",9.5,46,Mature,"Acerpsuedoplatanus
"
"ChildsHill(A)
","Hermitage Lane, Cricklewood, London               ",3,12,Early Mature,"Prunussp.
"
"ChildsHill(A)
","Hermitage Lane, Cricklewood, London               ",4,11,Early Mature,"Betulapapyrifera
"
"ChildsHill(A)
","Hermitage Lane, Cricklewood, London               ",4,11,Early Mature,"Betulapapyrifera
"
"ChildsHill(A)
","Hermitage Lane, Cricklewood, London               ",2,7,Early,"Sorbusspecies
"
"ChildsHill(A)
","Hermitage Lane, Cricklewood, London               ",0,0,,"VacantTreepit
"
"ChildsHill(A)
","Hocroft Avenue, Cricklewood, London               ",10.5,52,Mature,"Tiliasp.
"
"ChildsHill(A)
","Hocroft Avenue, Cricklewood, London               ",4,12,Early Mature,"PrunuscerasiferaNigra
"
"ChildsHill(A)
","Hocroft Avenue, Cricklewood, London               ",4,9,Young,"Acerplatanoides
"
"ChildsHill(A)
","Hocroft Avenue, Cricklewood, London               ",7.5,38,Mature,"PrunuscerasiferaNigra
"
"ChildsHill(A)
","Hocroft Avenue, Cricklewood, London               ",5,15,Early Mature,"Acerplatanoides
"
"ChildsHill(A)
","Hocroft Avenue, Cricklewood, London               ",14.5,80,Mature,"Platanusxhispanica
"
"ChildsHill(A)
","Hocroft Avenue, Cricklewood, London               ",7.5,21,Semi-Mature,"Acerplatanoides
"
"ChildsHill(A)
","Hocroft Avenue, Cricklewood, London               ",12.5,43,Semi-Mature,"Acerpsuedoplatanus
"
"ChildsHill(A)
","Hocroft Avenue, Cricklewood, London               ",5.5,14,Semi-Mature,"Prunussp.
"
"ChildsHill(A)
","Hocroft Avenue, Cricklewood, London               ",4,12,Early Mature,"Acerplatanoides
"
"ChildsHill(A)
","Hocroft Avenue, Cricklewood, London               ",10.5,55,Mature,"Tiliasp.
"
"ChildsHill(A)
","Hocroft Avenue, Cricklewood, London               ",4,11,Early Mature,"Malussp.
"
"ChildsHill(A)
","Hocroft Avenue, Cricklewood, London               ",4,14,Early Mature,"Coryluscolurna
"
"ChildsHill(A)
","Hocroft Avenue, Cricklewood, London               ",14.5,61,Mature,"Platanusxhispanica
"
"ChildsHill(A)
","Hocroft Avenue, Cricklewood, London               ",12.5,63,Mature,"Platanusxhispanica
"
"ChildsHill(A)
","Hocroft Avenue, Cricklewood, London               ",5.5,19,Semi-Mature,"Prunussp.
"
"ChildsHill(A)
","Hocroft Avenue, Cricklewood, London               ",0,0,,"VacantTreepit
"
"ChildsHill(A)
","Hocroft Road, Cricklewood, London                 ",12.5,48,Mature,"Acerplatanoides
"
"ChildsHill(A)
","Hocroft Road, Cricklewood, London                 ",7.5,125,Mature,"Populusnigra
"
"ChildsHill(A)
","Hocroft Road, Cricklewood, London                 ",3,9,Early Mature,"BetulapendulaTristis
"
"ChildsHill(A)
","Hocroft Road, Cricklewood, London                 ",12.5,63,Mature,"Platanusxhispanica
"
"ChildsHill(A)
","Hocroft Road, Cricklewood, London                 ",2.5,5,Young,"Betulaermanii
"
"ChildsHill(A)
","Hocroft Road, Cricklewood, London                 ",9.5,55,Mature,"Acerplatanoides
"
"ChildsHill(A)
","Hocroft Road, Cricklewood, London                 ",12.5,78,Mature,"Platanusxhispanica
"
"ChildsHill(A)
","Hocroft Road, Cricklewood, London                 ",5.5,55,Mature,"Tiliasp.
"
"ChildsHill(A)
","Hocroft Road, Cricklewood, London                 ",7.5,27,Semi-Mature,"Alnuscordata
"
"ChildsHill(A)
","Hocroft Road, Cricklewood, London                 ",12.5,73,Mature,"Platanusxhispanica
"
"ChildsHill(A)
","Hocroft Road, Cricklewood, London                 ",3,6,Early,"Prunussp.
"
"ChildsHill(A)
","Hocroft Road, Cricklewood, London                 ",12.5,45,Mature,"Acerplatanoides
"
"ChildsHill(A)
","Hocroft Road, Cricklewood, London                 ",12.5,51,Mature,"Acerplatanoides
"
"ChildsHill(A)
","Hocroft Road, Cricklewood, London                 ",2.5,5,Young,"Acersp.
"
"ChildsHill(A)
","Hocroft Road, Cricklewood, London                 ",6.5,21,Semi-Mature,"Prunusumineko
"
"ChildsHill(A)
","Hocroft Road, Cricklewood, London                 ",0,0,,"VacantTreepit
"
"ChildsHill(A)
","Hocroft Road, Cricklewood, London                 ",12.5,62,Mature,"Ailanthusaltissima
"
"ChildsHill(A)
","Hocroft Road, Cricklewood, London                 ",4,10,Early Mature,"PrunuscerasiferaNigra
"
"ChildsHill(A)
","Hocroft Road, Cricklewood, London                 ",2.5,5,Young,"AcercampestreElegant
"
"ChildsHill(A)
","Hocroft Road, Cricklewood, London                 ",6.5,20,Semi-Mature,"Malussp.
"
"ChildsHill(A)
","Hocroft Road, Cricklewood, London                 ",4,12,Early Mature,"Betulasp.
"
"ChildsHill(A)
","Hocroft Road, Cricklewood, London                 ",4,11,Early Mature,"PrunuscerasiferaNigra
"
"ChildsHill(A)
","Dunstan Road, Golders Green, London               ",3.5,37,Mature,"Tiliasp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",7.5,22,Semi-Mature,"Betulapendula
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",12.5,50,Mature,"Acerpsuedoplatanus
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",7.5,36,Mature,"Acerplatanoides
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",7.5,29,Semi-Mature,"Acerpsuedoplatanus
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",7.5,48,Mature,"Prunussp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",3,9,Early Mature,"Prunussp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",12.5,42,Mature,"Acerpsuedoplatanus
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",12.5,46,Mature,"Acerpsuedoplatanus
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",7.5,19,Semi-Mature,"Prunussp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",3,8,Early Mature,"Prunussp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",7.5,58,Over-Mature,"Prunussp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",3,1,,"VacantTreepit
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",4,12,Early Mature,"Crataegusoxycantha
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",4,8,Early Mature,"Betulasp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",5.5,20,Semi-Mature,"Prunussp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",3,7,Early Mature,"Crataegusoxycantha
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",4,12,Early Mature,"Tiliaeuchlora
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",5,25,Semi-Mature,"Prunussp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",4,18,Semi-Mature,"Malussp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",8.5,41,Mature,"Prunussp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",5.5,22,Semi-Mature,"Sorbusintermedia
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",3,1,,"VacantTreepit
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",0,1,,"VacantTreepit
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",12.5,42,Mature,"Tiliasp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",7.5,33,Semi-Mature,"Tiliasp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",7.5,44,Mature,"Tiliasp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",14.5,78,Mature,"Platanusxhispanica
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",7.5,39,Mature,"Tiliasp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",7.5,41,Mature,"Tiliasp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",9.5,44,Mature,"Tiliasp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",9.5,45,Mature,"Tiliasp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",7.5,36,Mature,"Tiliasp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",9.5,43,Mature,"Tiliasp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",7.5,45,Semi-Mature,"Tiliasp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",9.5,37,Mature,"PrunuscerasiferaNigra
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",0,0,Young,"PrunusmaackiiAmberBeauty
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",7.5,14,Early Mature,"Prunussp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",4,9,Early Mature,"Prunussp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",2,8,Early Mature,"Prunussp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",3,9,Early,"Sorbusaucuparia
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",4,15,Semi-Mature,"Prunussp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",5,18,Semi-Mature,"Prunussp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",2.5,5,Semi-Mature,"Betulasp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",7.5,41,Mature,"Prunussp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",4,12,Early Mature,"Betulasp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",7.5,42,Mature,"Acerplatanoides
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",7.5,22,Semi-Mature,"Prunussp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",3,33,Mature,"Crataegusoxycantha
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",3,8,Early Mature,"Prunussp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",7.5,48,Mature,"Acerpsuedoplatanus
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",4,12,Semi-Mature,"Sorbusaucuparia
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",4,11,Early Mature,"Betulasp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",8.5,27,Semi-Mature,"Prunusavium
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",5,17,Early Mature,"Acerplatanoides
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",6.5,26,Semi-Mature,"Acerpsuedoplatanus
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",7.5,36,Mature,"Prunussp.
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",7.5,26,Semi-Mature,"Acerplatanoides
"
"ChildsHill(A)
","Hodford Road, Golders Green, London               ",2,5,Young,"PrunusmaackiiAmberBeauty
"
"ChildsHill(A)
","Hoop Lane, Golders Green, London                  ",7.5,75,Mature,"Quercusrobur
"
"ChildsHill(A)
","Hoop Lane, Golders Green, London                  ",10.5,42,Mature,"Acersaccharinum
"
"ChildsHill(A)
","Hoop Lane, Golders Green, London                  ",4,10,Young,"Sorbusintermedia
"
"ChildsHill(A)
","Lichfield Road, Cricklewood, London               ",9,69,Mature,"Fraxinusexcelsior
"
"ChildsHill(A)
","Lichfield Road, Cricklewood, London               ",3.5,24,Semi-Mature,"Tiliasp.
"
"ChildsHill(A)
","Lichfield Road, Cricklewood, London               ",3.5,22,Semi-Mature,"Tiliasp.
"
"ChildsHill(A)
","Lichfield Road, Cricklewood, London               ",3.5,25,Semi-Mature,"Tiliasp.
"
"ChildsHill(A)
","Lichfield Road, Cricklewood, London               ",3.5,22,Semi-Mature,"Tiliasp.
"
"ChildsHill(A)
","Lichfield Road, Cricklewood, London               ",3.5,23,Semi-Mature,"Tiliasp.
"
"ChildsHill(A)
","Lichfield Road, Cricklewood, London               ",7.5,35,Semi-Mature,"Platanusxhispanica
"
"ChildsHill(A)
","Lichfield Road, Cricklewood, London               ",7.5,35,Semi-Mature,"Platanusxhispanica
"
"ChildsHill(A)
","Lichfield Road, Cricklewood, London               ",7.5,35,Semi-Mature,"Platanusxhispanica
"
"ChildsHill(A)
","Lichfield Road, Cricklewood, London               ",7.5,35,Semi-Mature,"Platanusxhispanica
"
"ChildsHill(A)
","Lichfield Road, Cricklewood, London               ",3.5,25,Semi-Mature,"Tiliasp.
"
"ChildsHill(A)
","Lichfield Road, Cricklewood, London               ",3.5,23,Semi-Mature,"Tiliasp.
"
"ChildsHill(A)
","Lichfield Road, Cricklewood, London               ",3.5,28,Semi-Mature,"Tiliasp.
"
"ChildsHill(A)
","Lichfield Road, Cricklewood, London               ",3.5,28,Semi-Mature,"Tiliasp.
"
"ChildsHill(A)
","Lichfield Road, Cricklewood, London               ",10,29,Semi-Mature,"Acerplatanoides
"
"ChildsHill(A)
","Lichfield Road, Cricklewood, London               ",10,28,Semi-Mature,"Acerplatanoides
"
"ChildsHill(A)
","Llanvanor Road, Cricklewood, London               ",3,4,Early Mature,"AmelanchierarboreaRobinHill
"
"ChildsHill(A)
","Llanvanor Road, Cricklewood, London               ",4,12,Early Mature,"PyruscalleryanaChanticleer
"
"ChildsHill(A)
","Llanvanor Road, Cricklewood, London               ",5.5,27,Mature,"Crataegusoxycantha
"
"ChildsHill(A)
","Llanvanor Road, Cricklewood, London               ",4.5,15,Semi-Mature,"Sorbusintermedia
"
"ChildsHill(A)
","Llanvanor Road, Cricklewood, London               ",5.5,15,Semi-Mature,"Prunussp.
"
"ChildsHill(A)
","Llanvanor Road, Cricklewood, London               ",4,9,Early Mature,"PrunusserrulaTibetica
"
"ChildsHill(A)
","Llanvanor Road, Cricklewood, London               ",7.5,25,Semi-Mature,"Prunussp.
"
"ChildsHill(A)
","Llanvanor Road, Cricklewood, London               ",7.5,29,Semi-Mature,"PrunuscerasiferaNigra
"
"ChildsHill(A)
","Llanvanor Road, Cricklewood, London               ",4.5,7,Early,"PyruscalleryanaChanticleer
"
"ChildsHill(A)
","Llanvanor Road, Cricklewood, London               ",8.5,26,Semi-Mature,"Ginkgobiloba
"
"ChildsHill(A)
","Llanvanor Road, Cricklewood, London               ",7.5,19,Semi-Mature,"MalusTschonoskii
"
"ChildsHill(A)
","Llanvanor Road, Cricklewood, London               ",7.5,24,Semi-Mature,"Ginkgobiloba
"
"ChildsHill(A)
","Llanvanor Road, Cricklewood, London               ",4,19,Semi-Mature,"SorbusxthuringiacaFastigiata
"
"ChildsHill(A)
","Llanvanor Road, Cricklewood, London               ",7.5,21,Semi-Mature,"Malussp.
"
"ChildsHill(A)
","Llanvanor Road, Cricklewood, London               ",3,5,Young,"Acersp.
"
"ChildsHill(A)
","Llanvanor Road, Cricklewood, London               ",6.5,25,Semi-Mature,"Sorbusaria
"
"ChildsHill(A)
","Llanvanor Road, Cricklewood, London               ",10.5,34,Mature,"CarpinusbetulusFastigiata
"
"ChildsHill(A)
","Llanvanor Road, Cricklewood, London               ",7.5,18,Semi-Mature,"Prunussp.
"
"ChildsHill(A)
","Llanvanor Road, Cricklewood, London               ",4,15,Semi-Mature,"Sorbusspecies
"
"ChildsHill(A)
","Llanvanor Road, Cricklewood, London               ",3,7,Early,"CrataeguslaevigataPaulScarlet
"
"ChildsHill(A)
","Llanvanor Road, Cricklewood, London               ",4.5,12,Semi-Mature,"Malussp.
"
"ChildsHill(A)
","Llanvanor Road, Cricklewood, London               ",4,10,Early Mature,"CrataeguslaevigataPaulScarlet
"
"ChildsHill(A)
","Llanvanor Road, Cricklewood, London               ",10.5,37,Mature,"Acercampestre
"
"ChildsHill(A)
","Llanvanor Road, Cricklewood, London               ",3,11,Early Mature,"Sorbusaucuparia
"
"ChildsHill(A)
","Llanvanor Road, Cricklewood, London               ",5.5,19,Semi-Mature,"Prunussp.
"
"ChildsHill(A)
","Llanvanor Road, Cricklewood, London               ",3.5,6,Early,"Prunussp.
"
"ChildsHill(A)
","Llanvanor Road, Cricklewood, London               ",3,7,Early Mature,"Sorbusaucuparia
"
"ChildsHill(A)
","Llanvanor Road, Cricklewood, London               ",3,7,Early,"PrunusxsubhirtellaAutumnalis
"
"ChildsHill(A)
","Lyndale, Childs Hill, London                      ",5.5,20,Semi-Mature,"Malussp.
"
"ChildsHill(A)
","Lyndale, Childs Hill, London                      ",7.5,23,Semi-Mature,"Betulasp.
"
"ChildsHill(A)
","Lyndale, Childs Hill, London                      ",4,15,Semi-Mature,"Crataegusmonogyna
"
"ChildsHill(A)
","Lyndale, Childs Hill, London                      ",0,0,,"VacantTreepit
"
"ChildsHill(A)
","Lyndale, Childs Hill, London                      ",0,0,,"VacantTreepit
"
"ChildsHill(A)
","Lyndale, Childs Hill, London                      ",6.5,35,Mature,"Malussp.
"
"ChildsHill(A)
","Lyndale, Childs Hill, London                      ",6.5,23,Semi-Mature,"Prunussp.
"
"ChildsHill(A)
","Lyndale, Childs Hill, London                      ",10.5,27,Semi-Mature,"Acerplatanoides
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",4,21,Semi-Mature,"Prunussp.
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",7.5,22,Semi-Mature,"Malussp.
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",3,9,Early Mature,"Prunussp.
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",6.5,20,Semi-Mature,"Prunussp.
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",3,14,Early Mature,"Prunussp.
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",3,10,Early Mature,"Malussp.
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",4,14,Early Mature,"CrataeguslaevigataPaulScarlet
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",4,16,Semi-Mature,"Malussp.
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",2.5,5,Young,"PrunusserrulaTibetica
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",9.5,55,Mature,"Prunussp.
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",4,17,Semi-Mature,"Acercampestre
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",7.5,35,Mature,"Acercampestre
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",5,19,Semi-Mature,"PyruscalleryanaChanticleer
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",6.5,16,Semi-Mature,"Acerpsuedoplatanus
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",3,9,Early,"Malussp.
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",7.5,26,Semi-Mature,"Betulapendula
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",8.5,35,Semi-Mature,"Liquidamberstyraciflua
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",5.5,18,Semi-Mature,"Acerpsuedoplatanus
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",9.5,28,Semi-Mature,"Prunusavium
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",6.5,26,Semi-Mature,"Acerpsuedoplatanus
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",7.5,24,Semi-Mature,"Betulasp.
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",7.5,17,Semi-Mature,"Acersp.
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",4,11,Early Mature,"Sorbusaucuparia
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",5.5,23,Semi-Mature,"CrataeguslaevigataPaulScarlet
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",2.5,5,Young,"SorbusxarnoldianaSchouten
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",0,45,Mature,"Alnuscordata
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",2,5,Young,"BetulautilisJacquemontii
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",5.5,31,Mature,"PrunuscerasiferaNigra
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",6.5,22,Semi-Mature,"Malussp.
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",6.5,22,Semi-Mature,"Liquidamberstyraciflua
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",0,0,,"VacantTreepit
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",5,10,Early Mature,"Crataeguscrusgallii
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",5,14,Early Mature,"Fagussylvatica
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",3,6,Early,"BetulautilisJacquemontii
"
"ChildsHill(A)
","Lyndale Avenue, Cricklewood, London               ",2,5,Young,"BetulautilisJacquemontii
"
"ChildsHill(A)
","Nant Road, Cricklewood, London                    ",9.5,36,Mature,"Carpinusbetulus
"
"ChildsHill(A)
","Nant Road, Cricklewood, London                    ",7.5,15,Early Mature,"Alnusglutinosa
"
"ChildsHill(A)
","Nant Road, Cricklewood, London                    ",8,32,Early Mature,"Alnusglutinosa
"
"ChildsHill(A)
","Nant Road, Cricklewood, London                    ",7.5,30,Semi-Mature,"Alnusglutinosa
"
"ChildsHill(A)
","Nant Road, Cricklewood, London                    ",7.5,17,Semi-Mature,"Alnusglutinosa
"
"ChildsHill(A)
","Oak Grove, Cricklewood, London                    ",4,9,Early Mature,"PrunusxsubhirtellaAutumnalis
"
"ChildsHill(A)
","Oak Grove, Cricklewood, London                    ",4,11,Early Mature,"Prunusumineko
"
"ChildsHill(A)
","Oak Grove, Cricklewood, London                    ",3,9,Early Mature,"Prunusumineko
"
"ChildsHill(A)
","Oak Grove, Cricklewood, London                    ",5,12,Early Mature,"PrunusxsubhirtellaAutumnalis
"
"ChildsHill(A)
","Oak Grove, Cricklewood, London                    ",4,10,Early Mature,"Prunusumineko
"
"ChildsHill(A)
","Oak Grove, Cricklewood, London                    ",4,11,Early Mature,"PrunusxsubhirtellaAutumnalis
"
"ChildsHill(A)
","Oak Grove, Cricklewood, London                    ",4.5,12,Early Mature,"PrunusxsubhirtellaAutumnalis
"
"ChildsHill(A)
","Oak Grove, Cricklewood, London                    ",3,10,Early Mature,"Prunusumineko
"
"ChildsHill(A)
","Park Avenue, Hampstead, London                    ",3,7,Early,"Malussp.
"
"ChildsHill(A)
","Park Avenue, Hampstead, London                    ",3.5,9,Early,"Prunussp.
"
"ChildsHill(A)
","Park Avenue, Hampstead, London                    ",6.5,18,Semi-Mature,"Prunussp.
"
"ChildsHill(A)
","Park Avenue, Hampstead, London                    ",4,8,Early,"Prunussp.
"
"ChildsHill(A)
","Park Avenue, Hampstead, London                    ",3,5,Young,"Prunussp.
"
"ChildsHill(A)
","Park Avenue, Hampstead, London                    ",6.5,28,Semi-Mature,"Crataegusmonogyna
"
"ChildsHill(A)
","Park Avenue, Hampstead, London                    ",2.5,5,Young,"Prunussp.
"
"ChildsHill(A)
","Park Avenue, Hampstead, London                    ",7.5,27,Semi-Mature,"Betulapapyrifera
"
"ChildsHill(A)
","Park Avenue, Hampstead, London                    ",3,6,Early,"Prunussp.
"
"ChildsHill(A)
","Park Avenue, Hampstead, London                    ",7.5,42,Mature,"Prunussp.
"
"ChildsHill(A)
","Park Avenue, Hampstead, London                    ",6.5,46,Mature,"Prunussp.
"
"ChildsHill(A)
","Park Avenue, Hampstead, London                    ",5.5,21,Semi-Mature,"Malussp.
"
"ChildsHill(A)
","Park Avenue, Hampstead, London                    ",7.5,17,Semi-Mature,"Sorbusaucuparia
"
"ChildsHill(A)
","Park Avenue, Hampstead, London                    ",6.5,16,Early Mature,"Prunussp.
"
"ChildsHill(A)
","Park Avenue, Hampstead, London                    ",6.5,23,Semi-Mature,"Crataegusmonogyna
"
"ChildsHill(A)
","Park Avenue, Hampstead, London                    ",5,14,Early Mature,"Prunussp.
"
"ChildsHill(A)
","Park Drive, Golders Green, London                 ",4,7,Early Mature,"Prunussp.
"
"ChildsHill(A)
","Park Drive, Golders Green, London                 ",5.5,32,Mature,"Prunussp.
"
"ChildsHill(A)
","Park Drive, Golders Green, London                 ",7.5,28,Semi-Mature,"FraxinusoxycarpaRaywood
"
"ChildsHill(A)
","Park Drive, Golders Green, London                 ",6.5,28,Mature,"Cotoneaster
"
"ChildsHill(A)
","Park Drive, Golders Green, London                 ",4,14,Early Mature,"Prunussp.
"
"ChildsHill(A)
","Park Drive, Golders Green, London                 ",4,11,Early Mature,"AmelanchierarboreaRobinHill
"
"ChildsHill(A)
","Park Drive, Golders Green, London                 ",0,0,Young,"Prunusaccolade
"
"ChildsHill(A)
","Park Drive, Golders Green, London                 ",5.5,55,Mature,"Prunussp.
"
"ChildsHill(A)
","Park Drive, Golders Green, London                 ",3,7,Early Mature,"Prunussp.
"
"ChildsHill(A)
","Park Drive, Golders Green, London                 ",4,17,Early Mature,"Prunussp.
"
"ChildsHill(A)
","Park Drive, Golders Green, London                 ",2.5,5,Young,"Prunussp.
"
"ChildsHill(A)
","Park Drive, Golders Green, London                 ",7.5,17,Early Mature,"AcerplatanoidesCrimsonKing
"
"ChildsHill(A)
","Park Drive, Golders Green, London                 ",3,5,Early,"PrunusxsubhirtellaAutumnalis
"
"ChildsHill(A)
","Park Drive, Golders Green, London                 ",3,5,Early,"PrunusxsubhirtellaAutumnalis
"
"ChildsHill(A)
","Pentland Close, Cricklewood, London               ",7.5,26,Semi-Mature,"Catalpabignonioides
"
